country,sentiment,conflict_count,article_id,negative_sentiment,GRSI
Norway,0.10190713437852292,55,357,0.0,87.9
Afghanistan,0.06472159805603202,115,265,0.0,87.5
Malaysia,0.08672121177947678,70,331,0.0,87.2
Pakistan,0.09545554396000824,81,308,0.0,85.9
Gardening,0.1319086240382363,44,362,0.0,85.60000000000001
Sweden,0.08974563940453771,86,295,0.0,84.8
Qatar,0.07528618713737761,97,273,0.0,83.7
Slovakia,0.0493939716449295,100,261,0.0,82.2
Nepal,0.03265788524341156,106,247,0.0,81.2
Hiking,0.12598431223790993,44,340,0.0,81.2
Parenting,0.11439712713923078,39,346,0.0,80.9
Philosophy,0.1154172067525814,34,347,0.0,79.60000000000001
Recipes,0.22962620747362533,18,355,0.0,76.4
DIY,0.149744431877484,37,326,0.0,76.3
Antarctica,0.09923108024933867,74,267,0.0,75.60000000000001
Philippines,0.06951537226311594,66,277,0.0,75.2
Entrepreneurship,0.14057141514901453,31,327,0.0,74.7
Meditation,0.10807369649466424,41,310,0.0,74.3
Motivation,0.09031298692167225,46,301,0.0,74.0
"Korea, Republic of",0.07002052492291537,78,251,0.0,73.6
Japan,0.12503625709113442,47,294,0.0,72.9
Photography,0.15869878308456928,44,298,0.0,72.8
Niger,0.019395043182356617,107,201,0.0,72.30000000000001
Jordan,0.12258572190325367,43,295,0.0,71.9
Poetry,0.09440089128213823,40,293,0.0,70.6
Startups,0.05509478486015031,34,301,0.0,70.4
Happiness,0.18260133478495277,29,299,0.0,68.5
Pets,0.14604901695288455,20,312,0.0,68.4
Mozambique,0.0731623881763287,48,269,0.0,68.2
Astronomy,0.08945946474917829,35,288,0.0,68.1
Cyprus,0.038489629994369334,86,211,0.0,68.0
Virtual Reality,0.11990635306528778,31,291,0.0,67.5
Iceland,0.10060451067416892,68,232,0.0,66.80000000000001
Dominican Republic,0.09180143001625891,45,263,0.0,66.1
Thailand,0.08846944056088024,48,257,0.0,65.80000000000001
Spain,0.10802297143076611,44,263,0.0,65.8
South Sudan,0.02931712962962963,93,188,0.0,65.5
Somalia,0.035464040014040014,93,185,0.0,64.9
Bermuda,0.06829095919512586,36,270,0.0,64.8
Algeria,0.03451152010639962,104,166,0.0,64.4
Oman,0.08120882348991486,82,197,0.0,64.0
Switzerland,0.09738221019986253,24,279,0.0,63.0
Lithuania,0.05125087430764287,55,229,0.0,62.300000000000004
Psychology,0.10388381452097406,36,257,0.0,62.2
Tunisia,0.06256724931735562,95,168,0.0,62.1
Ireland,0.10450126934395973,35,257,0.0,61.900000000000006
Belgium,0.08504260436348349,75,195,0.0,61.5
Cambodia,0.0691892366892367,49,221,0.0,58.900000000000006
Romania,0.10074208737736134,50,219,0.0,58.800000000000004
Vegan,0.1884857428198127,16,270,0.0,58.8
Kazakhstan,0.041775145297610734,50,217,0.0,58.400000000000006
Podcasts,0.15070984759907752,13,272,0.0,58.300000000000004
Guyana,0.05546535457719668,28,247,0.0,57.800000000000004
Panama,0.0713125063289537,40,228,0.0,57.6
Anime,0.13751241446963783,28,244,0.0,57.2
Peru,0.0649773697290364,38,225,0.0,56.4
Ethiopia,0.07788632570700327,42,214,0.0,55.400000000000006
Namibia,0.1040592646647334,33,224,0.0,54.7
Argentina,0.10550131852766151,21,242,0.0,54.7
Zimbabwe,0.058173279294171314,40,213,0.0,54.6
Mindfulness,0.12689180894862712,20,242,0.0,54.400000000000006
Uganda,0.05775767650767651,58,185,0.0,54.4
Uzbekistan,0.08801532957782958,42,208,0.0,54.2
Italy,0.10979149393063742,30,226,0.0,54.2
Zambia,0.04724362111615807,44,203,0.0,53.8
North Macedonia,0.08223696602751052,57,183,0.0,53.7
Mongolia,0.11778135478316637,37,207,0.0,52.50000000000001
Rwanda,0.08945825306485206,43,197,0.0,52.300000000000004
Bahamas,0.07302160082715639,16,234,0.0,51.6
Puerto Rico,0.0938654331045204,15,234,0.0,51.300000000000004
Greenland,0.09411891471101999,44,190,0.0,51.2
Greece,0.0960642496326738,30,211,0.0,51.2
Indonesia,0.07630750236572155,24,219,0.0,51.0
Yoga,0.13363574768852549,18,225,0.0,50.4
Bangladesh,0.10017997511747512,38,195,0.0,50.4
Libya,0.03443619872191301,73,140,0.0,49.9
Liberia,0.06744843391902215,30,204,0.0,49.800000000000004
Haiti,0.031081839278954658,51,169,0.0,49.1
Serbia,0.07171065333134298,63,145,0.0,47.9
Estonia,0.04069247127948785,37,181,0.0,47.300000000000004
Nicaragua,0.0740692083979121,49,162,0.0,47.099999999999994
Christmas Island,0.15234849528762442,15,211,0.0,46.7
Mali,0.03266896305605983,52,155,0.0,46.6
Finland,0.05587811995196983,35,177,0.0,45.9
Ghana,0.0931510904383245,27,188,0.0,45.7
France,0.06602343881190036,38,169,0.0,45.2
Madagascar,0.12237438612030449,33,175,0.0,44.9
Denmark,0.11259657760272514,27,183,0.0,44.7
Kuwait,0.021007939240893784,60,132,0.0,44.400000000000006
Kenya,0.03987129323667785,35,169,0.0,44.300000000000004
Morocco,0.06651608211321587,43,157,0.0,44.300000000000004
Jamaica,0.09497942998924673,19,191,0.0,43.900000000000006
Bahrain,0.04492858175658928,57,133,0.0,43.7
Latvia,0.07939511877011877,41,156,0.0,43.5
Hungary,0.11097680233709646,42,153,0.0,43.2
Mauritius,0.09984178010897587,15,189,0.0,42.300000000000004
Barbados,0.07478351140585184,46,141,0.0,42.0
Malawi,0.08688348506466484,18,178,0.0,41.0
Croatia,0.1246051781494328,22,161,0.0,38.800000000000004
Austria,0.10088227431977433,30,148,0.0,38.6
Tonga,0.09294777011183261,22,160,0.0,38.6
Minimalism,0.13842489479331585,24,152,0.0,37.6
Samoa,0.08489589811125955,13,166,0.0,37.1
Chad,0.08083190394345457,18,158,0.0,37.0
Slovenia,0.11493683003504432,39,126,0.0,36.900000000000006
Benin,0.06133672023420225,30,139,0.0,36.8
Luxembourg,0.06257131477769061,18,149,0.0,35.2
Chile,0.13231199161772408,10,157,0.0,34.400000000000006
Sri Lanka,0.11463459829779274,16,144,0.0,33.6
Azerbaijan,0.04493992586381702,40,107,0.0,33.400000000000006
"Virgin Islands, U.S.",0.09818206306202995,9,151,0.0,32.900000000000006
Aruba,0.07843707411415744,10,144,0.0,31.8
Belarus,0.06023229453627181,39,88,0.0,29.3
Guam,0.04571223431866996,28,101,0.0,28.6
Mauritania,0.08664165954982282,29,98,0.0,28.3
Seychelles,0.17964757246253307,7,127,0.0,27.500000000000004
Albania,0.07525245587745587,19,104,0.0,26.5
Bulgaria,0.06316395925306817,20,101,0.0,26.200000000000003
Colombia,0.11264398795648795,17,104,0.0,25.9
Guinea,0.12137880001412112,13,109,0.0,25.7
Gabon,0.06270824885381847,32,79,0.0,25.4
Cuba,0.07533826240934084,16,102,0.0,25.200000000000003
Fiji,0.07152573405314633,7,114,0.0,24.900000000000002
"Taiwan, Province of China",0.025701842110069956,29,79,0.0,24.5
Malta,0.10090404807957999,19,94,0.0,24.5
Kyrgyzstan,0.060934297769740804,29,79,0.0,24.5
Cameroon,0.039767868779965555,18,93,0.0,24.0
Senegal,0.06876838916689834,7,109,0.0,23.900000000000002
Guatemala,0.06135470552943671,11,93,0.0,21.900000000000002
Monaco,0.09388815187202286,11,93,0.0,21.900000000000002
Sierra Leone,0.042542159333204106,27,67,0.0,21.5
Papua New Guinea,0.08688356899233522,15,77,0.0,19.9
Central African Republic,0.06979726523476523,22,65,0.0,19.6
Gibraltar,0.09794532627865961,8,81,0.0,18.599999999999998
Burkina Faso,0.04126344902660692,23,57,0.0,18.3
Guernsey,-0.004547010723481309,4,85,0.004547010723481309,18.20227350536174
